id,goals_home,goals_away,odds_home_win,odds_away_win,draw,fixture_id
634,1,2,2.5,2.9,3.1,634
635,2,0,1.8,4.33,3.6,635
636,1,1,2.05,3.8,3.25,636
637,1,0,1.44,8,4.33,637
638,0,1,2.75,2.5,3.3,638
639,1,3,2.5,2.8,3.25,639
640,2,2,1.85,4,3.7,640
641,1,2,2.1,3.5,3.4,641
642,3,1,1.6,5,4.2,642
643,3,1,1.61,5,4,643
644,0,0,2.1,3.4,3.4,644
645,3,1,1.4,8,4.6,645
646,1,5,4.8,1.66,3.9,646
647,0,0,3.5,2.1,3.3,647
648,0,2,2.5,2.87,3.2,648
649,1,1,6.5,1.44,4.4,649
650,0,2,4,1.85,3.6,650
651,2,1,1.44,9.5,4.6,651
652,0,1,2.6,2.75,3.2,652
653,0,1,1.95,4.2,3.25,653
654,3,0,1.12,29,8,654
655,4,0,2.05,3.7,3.3,655
656,1,3,2.9,2.37,3.4,656
657,7,1,1.8,4.6,3.5,657
658,1,0,1.44,7,4.75,658
659,0,3,8,1.4,4.6,659
660,3,1,1.57,5.8,4,660
661,2,2,4,2,3.7,661
662,1,0,1.72,5.5,3.9,662
663,2,3,13,1.3,5.5,663
664,3,0,1.25,12,6.5,664
665,4,1,2.37,3.4,3.2,665
666,0,0,6,1.57,4.2,666
667,0,1,5.8,1.7,3.75,667
668,0,1,7,1.55,4,668
669,4,1,1.65,5.8,4,669
670,3,1,1.3,10,6,670
671,1,2,4.33,1.85,3.9,671
672,2,0,1.18,15,7.5,672
673,2,2,1.9,4.33,3.7,673
674,1,0,1.53,7,4.33,674
675,0,5,3.8,2.1,3.5,675
676,1,3,2.37,3.1,3.5,676
677,1,1,6,1.57,4.4,677
678,1,2,1.85,4.6,3.6,678
679,1,1,2.5,3.1,3.2,679
680,1,2,1.36,10,5.5,680
681,1,1,1.83,4.2,3.7,681
682,1,1,1.53,6,4.2,682
683,2,0,1.22,15,6,683
684,2,2,2.7,2.5,3.3,684
685,0,3,7.5,1.44,4.5,685
686,2,3,3.2,2.2,3.4,686
687,2,1,11,1.25,5.8,687
688,4,0,1.28,10,5.8,688
689,3,0,1.85,4.2,3.6,689
690,0,3,2.75,2.5,3.4,690
691,NaN,NaN,2.05,3.5,3.5,691
692,NaN,NaN,2.15,3.4,3.3,692
693,NaN,NaN,1.36,9,4.8,693
694,NaN,NaN,2.45,2.9,3.25,694
695,NaN,NaN,13,1.25,5.5,695
696,NaN,NaN,1.44,6,4.6,696
697,NaN,NaN,5,1.7,3.7,697
698,NaN,NaN,2.15,3.4,3.4,698
699,NaN,NaN,1.28,10,5.5,699
700,NaN,NaN,1.57,5.5,4.2,700
701,NaN,NaN,NaN,NaN,NaN,701
702,NaN,NaN,NaN,NaN,NaN,702
703,NaN,NaN,NaN,NaN,NaN,703
704,NaN,NaN,NaN,NaN,NaN,704
705,NaN,NaN,NaN,NaN,NaN,705
706,NaN,NaN,NaN,NaN,NaN,706
707,NaN,NaN,NaN,NaN,NaN,707
